,merk,price_total,price_cash,price_month,keterangan
42,2020        Mitsubishi               XPANDER        CROSS PLUS        1.5,Rp        256.000.000,Rp 263.000.000 (Cash),"Rp 5,22 jt/bln",50.245 km Automatic Surabaya
43,2019        Toyota               YARIS        G        1.5,Rp        195.000.000,Rp 200.000.000 (Cash),"Rp 3,97 jt/bln",32.921 km Automatic Jakarta Pusat
44,2021        Toyota               KIJANG INNOVA        V        2.0,Rp        374.000.000,Rp 384.000.000 (Cash),"Rp 7,62 jt/bln",31.385 km Automatic Surabaya
45,2021        Mitsubishi               XPANDER        CROSS PLUS        1.5,Rp        266.000.000,Rp 273.000.000 (Cash),"Rp 5,42 jt/bln",44.812 km Automatic Tangerang Selatan
46,,,,,
47,2018        Toyota               SIENTA        G        1.5,Rp        173.000.000,Rp 178.000.000 (Cash),"Rp 3,52 jt/bln",61.190 km Automatic Malang
48,2020        Mitsubishi               XPANDER        CROSS PREMIUM        1.5,Rp        260.000.000,Rp 267.000.000 (Cash),"Rp 5,30 jt/bln",35.743 km Automatic Tangerang Selatan
49,2019        Toyota               YARIS        S TRD        1.5,Rp        220.000.000,Rp 226.000.000 (Cash),"Rp 4,48 jt/bln",50.508 km Automatic Bogor
50,2019        Nissan               LIVINA        VL        1.5,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",71.142 km Automatic Jakarta Utara
51,2017        Toyota               KIJANG INNOVA        REBORN G        2.0,Rp        251.000.000,Rp 258.000.000 (Cash),"Rp 5,11 jt/bln",95.545 km Automatic Bandung
52,2021        Toyota               RUSH        S TRD        1.5,Rp        233.000.000,Rp 239.000.000 (Cash),"Rp 4,75 jt/bln",16.256 km Manual Tangerang Selatan
53,,,,,
54,2019        Toyota               AVANZA        G        1.3,Rp        179.000.000,Rp 184.000.000 (Cash),"Rp 3,65 jt/bln",73.593 km Manual Bogor
55,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        215.000.000,Rp 221.000.000 (Cash),"Rp 4,38 jt/bln",55.603 km Automatic Bekasi
56,2019        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        219.000.000,Rp 225.000.000 (Cash),"Rp 4,46 jt/bln",59.921 km Automatic Jakarta Pusat
57,2018        BMW               3        20I (CKD)        2.0,Rp        473.000.000,Rp 486.000.000 (Cash),"Rp 9,64 jt/bln",45.564 km Automatic Jakarta Timur
58,2018        Toyota               YARIS        S TRD        1.5,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",78.114 km Automatic Bekasi
59,2018        Daihatsu               TERIOS        R        1.5,Rp        195.000.000,Rp 200.000.000 (Cash),"Rp 3,97 jt/bln",44.805 km Manual Tangerang Selatan
60,2018        Suzuki               IGNIS        GL MT        1.2,Rp        119.000.000,Rp 123.000.000 (Cash),"Rp 2,42 jt/bln",22.083 km Manual Jakarta Utara
61,2021        Toyota               VIOS        G        1.5,Rp        231.000.000,Rp 237.000.000 (Cash),"Rp 4,71 jt/bln",59.457 km Automatic Jakarta Timur
62,2015        Suzuki               ERTIGA        GX        1.4,Rp        137.000.000,Rp 141.000.000 (Cash),"Rp 2,79 jt/bln",65.958 km Manual Bekasi
63,2019        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        214.000.000,Rp 220.000.000 (Cash),"Rp 4,36 jt/bln",59.546 km Manual Depok
64,2019        Suzuki               BALENO        HATCHBACK        1.4,Rp        184.000.000,Rp 189.000.000 (Cash),"Rp 3,75 jt/bln",26.932 km Automatic Jakarta Selatan
65,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",65.446 km Automatic Jakarta Selatan
66,,,,,
67,2021        Toyota               RAIZE        TURBO G        1.0,Rp        215.000.000,Rp 221.000.000 (Cash),"Rp 4,38 jt/bln",34.670 km Automatic Malang
68,2019        Daihatsu               SIRION        M804RS        1.3,Rp        160.000.000,Rp 165.000.000 (Cash),"Rp 3,26 jt/bln",51.726 km Automatic Jakarta Selatan
69,2018        Honda               BRIO        RS        1.2,Rp        152.000.000,Rp 156.000.000 (Cash),"Rp 3,10 jt/bln",61.882 km Automatic Jakarta Timur
