,merk,price_total,price_cash,price_month,keterangan
187,2016        Toyota               FORTUNER        G        2.4,Rp        355.000.000,Rp 365.000.000 (Cash),"Rp 7,23 jt/bln",89.171 km Automatic Jakarta Selatan
188,2019        Toyota               KIJANG INNOVA        V        2.0,Rp        302.000.000,Rp 310.000.000 (Cash),"Rp 6,15 jt/bln",36.463 km Manual Surabaya
189,2019        Daihatsu               AYLA        X        1.2,Rp        115.000.000,Rp 118.000.000 (Cash),"Rp 2,34 jt/bln",75.823 km Manual Bandung
190,2022        Toyota               AVANZA        G        1.5,Rp        232.000.000,Rp 238.000.000 (Cash),"Rp 4,73 jt/bln",12.211 km Manual Surabaya
191,2016        Toyota               KIJANG INNOVA        G        2.0,Rp        241.000.000,Rp 248.000.000 (Cash),"Rp 4,91 jt/bln",77.393 km Manual Bekasi
192,2019        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        220.000.000,Rp 226.000.000 (Cash),"Rp 4,48 jt/bln",63.233 km Manual Surabaya
193,,,,,
194,2016        Honda               MOBILIO        E        1.5,Rp        147.000.000,Rp 151.000.000 (Cash),"Rp 3,00 jt/bln",85.763 km Manual Jakarta Selatan
195,2016        Toyota               AVANZA        G        1.3,Rp        149.000.000,Rp 153.000.000 (Cash),"Rp 3,04 jt/bln",35.385 km Manual Surabaya
196,2021        Toyota               YARIS        S TRD        1.5,Rp        254.000.000,Rp 261.000.000 (Cash),"Rp 5,18 jt/bln",22.192 km Automatic Depok
197,2018        Daihatsu               AYLA        X        1.2,Rp        112.000.000,Rp 115.000.000 (Cash),"Rp 2,28 jt/bln",10.508 km Manual Jakarta Barat
198,2019        Daihatsu               TERIOS        R DLX        1.5,Rp        199.000.000,Rp 205.000.000 (Cash),"Rp 4,05 jt/bln",40.435 km Manual Jakarta Barat
199,2022        Toyota               RAIZE        GR SPORT        1.0,Rp        242.000.000,Rp 249.000.000 (Cash),"Rp 4,93 jt/bln",4.970 km Automatic Bandung
200,2016        Nissan               X-TRAIL                2.5,Rp        220.000.000,Rp 226.000.000 (Cash),"Rp 4,48 jt/bln",98.575 km Automatic Bekasi
201,2017        Honda               HR-V        E        1.5,Rp        224.000.000,Rp 230.000.000 (Cash),"Rp 4,56 jt/bln",99.539 km Automatic Jakarta Pusat
202,2018        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        210.000.000,Rp 216.000.000 (Cash),"Rp 4,28 jt/bln",60.929 km Manual Jakarta Pusat
203,2020        Honda               BRIO        SATYA E        1.2,Rp        162.000.000,Rp 167.000.000 (Cash),"Rp 3,30 jt/bln",23.302 km Automatic Bogor
204,2019        Suzuki               IGNIS        GL        1.2,Rp        121.000.000,Rp 125.000.000 (Cash),"Rp 2,47 jt/bln",33.104 km Manual Tangerang Selatan
205,2019        Honda               BRIO        RS        1.2,Rp        180.000.000,Rp 185.000.000 (Cash),"Rp 3,67 jt/bln",45.548 km Automatic Jakarta Timur
206,,,,,
207,2019        Honda               BRIO        SATYA E        1.2,Rp        147.000.000,Rp 151.000.000 (Cash),"Rp 3,00 jt/bln",14.842 km Manual Bandung
208,2019        Toyota               CALYA        G        1.2,Rp        137.000.000,Rp 141.000.000 (Cash),"Rp 2,79 jt/bln",52.988 km Automatic Jakarta Barat
209,2017        Toyota               AVANZA        E        1.3,Rp        150.000.000,Rp 154.000.000 (Cash),"Rp 3,06 jt/bln",70.052 km Automatic Surabaya
210,2019        Honda               MOBILIO        RS        1.5,Rp        195.000.000,Rp 200.000.000 (Cash),"Rp 3,97 jt/bln",51.259 km Automatic Tangerang Selatan
211,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        215.000.000,Rp 221.000.000 (Cash),"Rp 4,38 jt/bln",54.223 km Automatic Depok
212,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        215.000.000,Rp 221.000.000 (Cash),"Rp 4,38 jt/bln",70.666 km Automatic Bogor
213,,,,,
214,2021        Wuling               ALMAZ        RS LT LUX + SC CVT        1.5,Rp        295.000.000,Rp 303.000.000 (Cash),"Rp 6,01 jt/bln",38.733 km Automatic Bekasi
215,2021        Wuling               ALMAZ        LT LUX + SC CVT        1.5,Rp        295.000.000,Rp 303.000.000 (Cash),"Rp 6,01 jt/bln",29.075 km Automatic Bandung
216,2017        Suzuki               SX4        S-CROSS        1.5,Rp        156.000.000,Rp 161.000.000 (Cash),"Rp 3,18 jt/bln",116.851 km Manual Jakarta Utara
217,2020        Daihatsu               AYLA        R        1.2,Rp        124.000.000,Rp 128.000.000 (Cash),"Rp 2,53 jt/bln",20.766 km Manual Tangerang Selatan
218,2019        Daihatsu               TERIOS        R DLX        1.5,Rp        199.000.000,Rp 205.000.000 (Cash),"Rp 4,05 jt/bln",75.568 km Manual Bogor
219,2019        Nissan               LIVINA        E        1.5,Rp        161.000.000,Rp 166.000.000 (Cash),"Rp 3,28 jt/bln",55.420 km Manual Jakarta Timur
220,2019        Daihatsu               TERIOS        R        1.5,Rp        204.000.000,Rp 210.000.000 (Cash),"Rp 4,16 jt/bln",53.125 km Manual Bekasi
221,2016        Toyota               CALYA        G        1.2,Rp        119.000.000,Rp 123.000.000 (Cash),"Rp 2,42 jt/bln",97.915 km Automatic Jakarta Timur
222,2015        Mazda               2        R SKYACTIV        1.5,Rp        172.000.000,Rp 177.000.000 (Cash),"Rp 3,50 jt/bln",67.189 km Automatic Bekasi
223,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        214.000.000,Rp 220.000.000 (Cash),"Rp 4,36 jt/bln",86.772 km Automatic Surabaya
224,2022        Toyota               RUSH        S GR SPORT        1.5,Rp        255.000.000,Rp 262.000.000 (Cash),"Rp 5,20 jt/bln",13.903 km Automatic Jakarta Timur
225,2021        Toyota               COROLLA ALTIS        V        1.8,Rp        408.000.000,Rp 419.000.000 (Cash),"Rp 8,31 jt/bln",12.662 km Automatic Jakarta Timur
226,,,,,
227,2019        Honda               BRIO        SATYA E        1.2,Rp        158.000.000,Rp 163.000.000 (Cash),"Rp 3,22 jt/bln",24.624 km Automatic Jakarta Utara
228,2016        Mitsubishi               OUTLANDER SPORT        PX        2.0,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",126.885 km Automatic Bekasi
229,2019        Honda               BRIO        SATYA E        1.2,Rp        150.000.000,Rp 154.000.000 (Cash),"Rp 3,06 jt/bln",33.464 km Manual Bandung
230,2016        Honda               BR-V        S        1.5,Rp        162.000.000,Rp 167.000.000 (Cash),"Rp 3,30 jt/bln",62.742 km Manual Malang
231,2016        Toyota               AGYA        G        1.0,Rp        104.000.000,Rp 107.000.000 (Cash),"Rp 2,12 jt/bln",120.641 km Automatic Bandung
232,2017        Daihatsu               SIGRA        R STD        1.2,Rp        115.000.000,Rp 118.000.000 (Cash),"Rp 2,34 jt/bln",43.905 km Manual Bandung
233,,,,,
234,2019        Honda               BRIO        RS        1.2,Rp        179.000.000,Rp 184.000.000 (Cash),"Rp 3,65 jt/bln",42.861 km Automatic Bekasi
235,2020        Suzuki               IGNIS        GX        1.2,Rp        159.000.000,Rp 164.000.000 (Cash),"Rp 3,24 jt/bln",38.565 km Automatic Tangerang Selatan
236,2018        Honda               BRIO        SATYA E        1.2,Rp        141.000.000,Rp 145.000.000 (Cash),"Rp 2,87 jt/bln",71.172 km Automatic Tangerang Selatan
237,2019        Daihatsu               AYLA        R        1.2,Rp        118.000.000,Rp 122.000.000 (Cash),"Rp 2,40 jt/bln",41.982 km Manual Bekasi
238,2017        Honda               BRIO        SATYA E        1.2,Rp        121.000.000,Rp 125.000.000 (Cash),"Rp 2,47 jt/bln",91.713 km Manual Bogor
239,2017        Toyota               CALYA        E        1.2,Rp        113.000.000,Rp 116.000.000 (Cash),"Rp 2,30 jt/bln",95.341 km Manual Bandung
240,2015        Daihatsu               TERIOS        R        1.5,Rp        160.000.000,Rp 165.000.000 (Cash),"Rp 3,26 jt/bln",72.753 km Manual Surabaya
241,2015        Nissan               X-TRAIL                2.5,Rp        209.000.000,Rp 215.000.000 (Cash),"Rp 4,26 jt/bln",117.443 km Automatic Surabaya
242,2014        Suzuki               ERTIGA        GX        1.4,Rp        138.000.000,Rp 142.000.000 (Cash),"Rp 2,81 jt/bln",121.801 km Automatic Surabaya
243,2019        Toyota               CALYA        G        1.2,Rp        128.000.000,Rp 132.000.000 (Cash),"Rp 2,61 jt/bln",44.711 km Manual Bandung
244,2018        Suzuki               IGNIS        GX        1.2,Rp        126.000.000,Rp 130.000.000 (Cash),"Rp 2,57 jt/bln",29.400 km Manual Bandung
245,2019        Mitsubishi               XPANDER        SPORT        1.5,Rp        215.000.000,Rp 221.000.000 (Cash),"Rp 4,38 jt/bln",53.446 km Automatic Malang
246,,,,,
247,2019        Nissan               LIVINA        VL        1.5,Rp        211.000.000,Rp 217.000.000 (Cash),"Rp 4,30 jt/bln",47.566 km Automatic Malang
248,2021        Honda               HR-V        S        1.5,Rp        278.000.000,Rp 286.000.000 (Cash),"Rp 5,66 jt/bln",33.364 km Automatic Surabaya
249,2021        Daihatsu               ROCKY        R        1.0,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",18.450 km Automatic Bekasi
250,2022        Suzuki               ERTIGA        GL        1.5,Rp        199.000.000,Rp 205.000.000 (Cash),"Rp 4,05 jt/bln",12.552 km Manual Surabaya
251,2019        Daihatsu               SIGRA        R STD        1.2,Rp        125.000.000,Rp 129.000.000 (Cash),"Rp 2,55 jt/bln",83.563 km Manual Tangerang Selatan
252,2017        Honda               BRIO        RS        1.2,Rp        147.000.000,Rp 151.000.000 (Cash),"Rp 3,00 jt/bln",92.707 km Automatic Depok
253,,,,,
254,2018        Honda               BRIO        RS        1.2,Rp        147.000.000,Rp 151.000.000 (Cash),"Rp 3,00 jt/bln",61.565 km Manual Surabaya
255,2018        Honda               BRIO        SATYA E        1.2,Rp        134.000.000,Rp 138.000.000 (Cash),"Rp 2,73 jt/bln",57.468 km Manual Jakarta Selatan
256,2020        Honda               BRIO        SATYA E        1.2,Rp        161.000.000,Rp 166.000.000 (Cash),"Rp 3,28 jt/bln",33.388 km Automatic Jakarta Utara
257,2018        Daihatsu               AYLA        R DLX        1.2,Rp        122.000.000,Rp 126.000.000 (Cash),"Rp 2,49 jt/bln",37.917 km Manual Tangerang Selatan
258,2016        Nissan               X-TRAIL                2.5,Rp        229.000.000,Rp 235.000.000 (Cash),"Rp 4,67 jt/bln",51.292 km Automatic Malang
259,2018        Suzuki               ERTIGA        GX        1.4,Rp        169.000.000,Rp 174.000.000 (Cash),"Rp 3,44 jt/bln",60.497 km Automatic Jakarta Utara
260,2018        Honda               BRIO        RS        1.2,Rp        154.000.000,Rp 158.000.000 (Cash),"Rp 3,14 jt/bln",80.865 km Automatic Bekasi
261,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        219.000.000,Rp 225.000.000 (Cash),"Rp 4,46 jt/bln",68.399 km Automatic Bekasi
262,2019        Toyota               CALYA        G        1.2,Rp        130.000.000,Rp 134.000.000 (Cash),"Rp 2,65 jt/bln",70.549 km Manual Bandung
263,2017        Honda               BRIO        RS        1.2,Rp        136.000.000,Rp 140.000.000 (Cash),"Rp 2,77 jt/bln",78.612 km Manual Bandung
264,2020        Suzuki               ERTIGA        GX        1.5,Rp        199.000.000,Rp 205.000.000 (Cash),"Rp 4,05 jt/bln",55.161 km Manual Tangerang Selatan
265,2018        Suzuki               IGNIS        GX AGS        1.2,Rp        137.000.000,Rp 141.000.000 (Cash),"Rp 2,79 jt/bln",77.362 km Automatic Jakarta Pusat
266,,,,,
267,2014        Mazda               BIANTE        SKYACTIV        2.0,Rp        181.000.000,Rp 186.000.000 (Cash),"Rp 3,69 jt/bln",88.620 km Automatic Jakarta Utara
268,2020        Toyota               YARIS        G        1.5,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",41.172 km Automatic Tangerang Selatan
269,2018        Toyota               SIENTA        V        1.5,Rp        185.000.000,Rp 190.000.000 (Cash),"Rp 3,77 jt/bln",42.809 km Automatic Bandung
270,2016        Mercedes-Benz               CLA        200 SPORT        1.6,Rp        475.000.000,Rp 488.000.000 (Cash),"Rp 9,68 jt/bln",47.982 km Automatic Jakarta Selatan
271,2017        Mitsubishi               PAJERO SPORT        DAKAR 4X2        2.4,Rp        425.000.000,Rp 436.000.000 (Cash),"Rp 8,66 jt/bln",25.773 km Automatic Malang
272,2017        Datsun               GO+ PANCA        T        1.2,Rp        84.000.000,Rp 87.000.000 (Cash),"Rp 1,71 jt/bln",114.640 km Manual Tangerang Selatan
273,,,,,
274,2018        Wuling               CORTEZ        L LUX        1.8,Rp        166.000.000,Rp 171.000.000 (Cash),"Rp 3,38 jt/bln",53.743 km Automatic Tangerang Selatan
275,2021        Daihatsu               TERIOS        X DLX        1.5,Rp        204.000.000,Rp 210.000.000 (Cash),"Rp 4,16 jt/bln",50.668 km Automatic Malang
276,2021        Honda               MOBILIO        RS        1.5,Rp        221.000.000,Rp 227.000.000 (Cash),"Rp 4,50 jt/bln",12.090 km Automatic Surabaya
277,2019        Mazda               CX-5        ELITE        2.5,Rp        440.000.000,Rp 452.000.000 (Cash),"Rp 8,96 jt/bln",28.043 km Automatic Malang
278,2021        Daihatsu               TERIOS        R        1.5,Rp        227.000.000,Rp 233.000.000 (Cash),"Rp 4,63 jt/bln",10.438 km Manual Surabaya
279,2021        Daihatsu               SIGRA        R        1.2,Rp        143.000.000,Rp 147.000.000 (Cash),"Rp 2,91 jt/bln",32.178 km Automatic Bekasi
280,2013        Nissan               GRAND LIVINA        SV        1.5,Rp        107.000.000,Rp 110.000.000 (Cash),"Rp 2,18 jt/bln",104.797 km Automatic Bogor
281,2018        Suzuki               IGNIS        GX AGS        1.2,Rp        141.000.000,Rp 145.000.000 (Cash),"Rp 2,87 jt/bln",81.464 km Automatic Bekasi
282,2018        Honda               CR-V        TURBO PRESTIGE        1.5,Rp        412.000.000,Rp 423.000.000 (Cash),"Rp 8,39 jt/bln",82.163 km Automatic Jakarta Timur
283,2017        Toyota               CALYA        G        1.2,Rp        124.000.000,Rp 128.000.000 (Cash),"Rp 2,53 jt/bln",78.238 km Automatic Bogor
284,2019        Toyota               AGYA        G STD        1.2,Rp        122.000.000,Rp 126.000.000 (Cash),"Rp 2,49 jt/bln",12.781 km Manual Tangerang Selatan
285,2014        Suzuki               ERTIGA        GX        1.4,Rp        132.000.000,Rp 136.000.000 (Cash),"Rp 2,69 jt/bln",95.954 km Manual Bekasi
286,,,,,
287,2014        Daihatsu               AYLA        M        1.0,Rp        86.000.000,Rp 89.000.000 (Cash),"Rp 1,75 jt/bln",38.068 km Manual Bandung
288,2019        Daihatsu               AYLA        R        1.2,Rp        121.000.000,Rp 125.000.000 (Cash),"Rp 2,47 jt/bln",43.292 km Manual Depok
289,2017        Toyota               AGYA        G TRD        1.2,Rp        117.000.000,Rp 121.000.000 (Cash),"Rp 2,38 jt/bln",28.072 km Manual Jakarta Pusat
290,2020        Daihatsu               AYLA        X        1.0,Rp        111.000.000,Rp 114.000.000 (Cash),"Rp 2,26 jt/bln",44.690 km Manual Jakarta Timur
291,2018        Suzuki               IGNIS        GX AGS        1.2,Rp        141.000.000,Rp 145.000.000 (Cash),"Rp 2,87 jt/bln",79.098 km Automatic Bekasi
292,2019        Daihatsu               AYLA        R        1.2,Rp        122.000.000,Rp 126.000.000 (Cash),"Rp 2,49 jt/bln",57.385 km Manual Bekasi
293,,,,,
294,2018        Daihatsu               AYLA        R        1.2,Rp        119.000.000,Rp 123.000.000 (Cash),"Rp 2,42 jt/bln",52.073 km Manual Tangerang Selatan
295,2019        Honda               BRIO        RS        1.2,Rp        181.000.000,Rp 186.000.000 (Cash),"Rp 3,69 jt/bln",47.846 km Automatic Bekasi
296,2018        Honda               BRIO        RS        1.2,Rp        144.000.000,Rp 148.000.000 (Cash),"Rp 2,93 jt/bln",51.536 km Manual Depok
297,2018        Honda               BRIO        SATYA E        1.2,Rp        145.000.000,Rp 149.000.000 (Cash),"Rp 2,95 jt/bln",50.049 km Automatic Jakarta Selatan
298,2019        Honda               BRIO        SATYA E        1.2,Rp        158.000.000,Rp 163.000.000 (Cash),"Rp 3,22 jt/bln",39.822 km Automatic Bogor
299,2019        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        229.000.000,Rp 235.000.000 (Cash),"Rp 4,67 jt/bln",76.816 km Automatic Malang
300,2020        Toyota               CALYA        G        1.2,Rp        140.000.000,Rp 144.000.000 (Cash),"Rp 2,85 jt/bln",53.086 km Manual Tangerang Selatan
301,2018        Suzuki               ERTIGA        GX        1.5,Rp        171.000.000,Rp 176.000.000 (Cash),"Rp 3,48 jt/bln",52.200 km Manual Jakarta Timur
302,2017        Honda               BRIO        SATYA E        1.2,Rp        136.000.000,Rp 140.000.000 (Cash),"Rp 2,77 jt/bln",52.139 km Automatic Tangerang Selatan
303,2021        Honda               BRIO        SATYA E        1.2,Rp        172.000.000,Rp 177.000.000 (Cash),"Rp 3,50 jt/bln",26.407 km Automatic Jakarta Timur
304,2019        Honda               BRIO        SATYA E        1.2,Rp        161.000.000,Rp 166.000.000 (Cash),"Rp 3,28 jt/bln",19.556 km Automatic Tangerang Selatan
305,2023        Toyota               CALYA        G        1.2,Rp        175.000.000,Rp 180.000.000 (Cash),"Rp 3,57 jt/bln",4.163 km Automatic Malang
306,,,,,
307,2022        Wuling               CONFERO        S C MY        1.5,Rp        147.000.000,Rp 151.000.000 (Cash),"Rp 3,00 jt/bln",23.678 km Manual Malang
308,2019        Toyota               AGYA        G TRD        1.2,Rp        139.000.000,Rp 143.000.000 (Cash),"Rp 2,83 jt/bln",98.857 km Automatic Jakarta Barat
309,2017        Toyota               AVANZA        VELOZ        1.5,Rp        169.000.000,Rp 174.000.000 (Cash),"Rp 3,44 jt/bln",61.318 km Manual Bekasi
310,2021        Wuling               CORTEZ        L T LUX        1.5,Rp        214.000.000,Rp 220.000.000 (Cash),"Rp 4,36 jt/bln",31.251 km Automatic Malang
311,2020        Daihatsu               AYLA        R        1.2,Rp        129.000.000,Rp 133.000.000 (Cash),"Rp 2,63 jt/bln",48.544 km Manual Bekasi
312,2019        Toyota               CALYA        G        1.2,Rp        130.000.000,Rp 134.000.000 (Cash),"Rp 2,65 jt/bln",61.098 km Manual Jakarta Barat
313,,,,,
314,2013        Honda               CITY        E        1.5,Rp        146.000.000,Rp 150.000.000 (Cash),"Rp 2,97 jt/bln",74.201 km Automatic Bogor
315,2019        Toyota               AGYA        G TRD        1.2,Rp        127.000.000,Rp 131.000.000 (Cash),"Rp 2,59 jt/bln",46.182 km Manual Bekasi
316,2019        Wuling               ALMAZ        LT LUX        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",58.152 km Automatic Malang
317,2014        Toyota               ETIOS VALCO        G        1.2,Rp        105.000.000,Rp 108.000.000 (Cash),"Rp 2,14 jt/bln",50.730 km Manual Bekasi
318,2017        Toyota               SIENTA        V        1.5,Rp        182.000.000,Rp 187.000.000 (Cash),"Rp 3,71 jt/bln",73.914 km Automatic Jakarta Timur
319,2018        Honda               HR-V        E        1.5,Rp        248.000.000,Rp 255.000.000 (Cash),"Rp 5,05 jt/bln",67.038 km Automatic Bekasi
320,2015        Suzuki               ERTIGA        GX        1.4,Rp        142.000.000,Rp 146.000.000 (Cash),"Rp 2,89 jt/bln",138.620 km Automatic Malang
321,2019        Suzuki               IGNIS        GX        1.2,Rp        148.000.000,Rp 152.000.000 (Cash),"Rp 3,02 jt/bln",60.155 km Automatic Bogor
322,2019        Wuling               ALMAZ        LT LUX        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",30.863 km Automatic Jakarta Selatan
323,2015        Daihatsu               TERIOS        TX        1.5,Rp        148.000.000,Rp 152.000.000 (Cash),"Rp 3,02 jt/bln",118.704 km Manual Bekasi
324,2018        Toyota               AGYA        G TRD        1.2,Rp        124.000.000,Rp 128.000.000 (Cash),"Rp 2,53 jt/bln",78.385 km Manual Bekasi
325,2019        Toyota               CALYA        G        1.2,Rp        130.000.000,Rp 134.000.000 (Cash),"Rp 2,65 jt/bln",38.898 km Manual Bogor
326,,,,,
327,2019        Wuling               ALMAZ        LT LUX EXCLUSIVE        1.5,Rp        226.000.000,Rp 232.000.000 (Cash),"Rp 4,60 jt/bln",42.071 km Automatic Tangerang Selatan
328,2017        Daihatsu               SIGRA        R STD        1.2,Rp        117.000.000,Rp 120.000.000 (Cash),"Rp 2,38 jt/bln",65.080 km Manual Depok
329,2017        Mazda               2        GT        1.5,Rp        203.000.000,Rp 209.000.000 (Cash),"Rp 4,14 jt/bln",48.819 km Automatic Jakarta Barat
330,2019        Daihatsu               AYLA        R        1.2,Rp        121.000.000,Rp 125.000.000 (Cash),"Rp 2,47 jt/bln",25.384 km Manual Bekasi
331,2021        Daihatsu               GRAN MAX        D        1.5,Rp        159.000.000,Rp 164.000.000 (Cash),"Rp 3,24 jt/bln",35.989 km Manual Jakarta Selatan
332,2018        Honda               BRIO        SATYA E        1.2,Rp        143.000.000,Rp 147.000.000 (Cash),"Rp 2,91 jt/bln",40.412 km Automatic Bandung
333,,,,,
334,2017        Honda               BR-V        E        1.5,Rp        176.000.000,Rp 181.000.000 (Cash),"Rp 3,59 jt/bln",107.425 km Automatic Bekasi
335,2019        Toyota               KIJANG INNOVA        V        2.0,Rp        301.000.000,Rp 309.000.000 (Cash),"Rp 6,13 jt/bln",70.717 km Manual Bogor
336,2018        Toyota               KIJANG INNOVA        VENTURER        2.0,Rp        335.000.000,Rp 344.000.000 (Cash),"Rp 6,83 jt/bln",87.354 km Automatic Jakarta Timur
337,2014        Honda               BRIO        SATYA E        1.2,Rp        111.000.000,Rp 114.000.000 (Cash),"Rp 2,26 jt/bln",82.438 km Manual Jakarta Selatan
338,2017        Honda               BRIO        RS        1.2,Rp        149.000.000,Rp 153.000.000 (Cash),"Rp 3,04 jt/bln",107.531 km Automatic Bogor
339,2019        Toyota               AVANZA        VELOZ        1.5,Rp        200.000.000,Rp 206.000.000 (Cash),"Rp 4,08 jt/bln",15.116 km Automatic Jakarta Timur
340,2019        Nissan               LIVINA        VL        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",18.841 km Automatic Bekasi
341,2018        Toyota               AVANZA        VELOZ        1.5,Rp        184.000.000,Rp 189.000.000 (Cash),"Rp 3,75 jt/bln",21.352 km Manual Jakarta Selatan
342,2019        Daihatsu               AYLA        X        1.0,Rp        106.000.000,Rp 109.000.000 (Cash),"Rp 2,16 jt/bln",14.865 km Manual Jakarta Pusat
343,2018        Honda               MOBILIO        E        1.5,Rp        162.000.000,Rp 167.000.000 (Cash),"Rp 3,30 jt/bln",45.376 km Manual Jakarta Timur
344,2018        Daihatsu               AYLA        R        1.2,Rp        120.000.000,Rp 124.000.000 (Cash),"Rp 2,44 jt/bln",37.343 km Manual Bogor
345,2019        Toyota               AVANZA        G        1.3,Rp        183.000.000,Rp 188.000.000 (Cash),"Rp 3,73 jt/bln",65.172 km Automatic Jakarta Barat
346,,,,,
347,2013        Toyota               AVANZA        VELOZ        1.5,Rp        136.000.000,Rp 140.000.000 (Cash),"Rp 2,77 jt/bln",68.557 km Manual Depok
348,2019        Honda               BRIO        RS        1.2,Rp        184.000.000,Rp 189.000.000 (Cash),"Rp 3,75 jt/bln",65.278 km Automatic Bogor
349,2017        Daihatsu               AYLA        R        1.2,Rp        117.000.000,Rp 121.000.000 (Cash),"Rp 2,38 jt/bln",61.937 km Manual Jakarta Utara
350,2019        Nissan               LIVINA        VL        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",37.246 km Automatic Bekasi
351,2018        Chevrolet               TRAX        TURBO PREMIER        1.4,Rp        192.000.000,Rp 197.000.000 (Cash),"Rp 3,91 jt/bln",46.161 km Automatic Jakarta Selatan
352,2016        Mitsubishi               OUTLANDER SPORT        PX        2.0,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",97.159 km Automatic Jakarta Timur
353,,,,,
354,2016        Daihatsu               AYLA        X        1.0,Rp        95.000.000,Rp 98.000.000 (Cash),"Rp 1,94 jt/bln",59.781 km Manual Jakarta Utara
355,2016        Honda               BRIO        SATYA E        1.2,Rp        133.000.000,Rp 137.000.000 (Cash),"Rp 2,71 jt/bln",110.471 km Automatic Depok
356,2014        Nissan               SERENA        HIGHWAY STAR        2.0,Rp        177.000.000,Rp 182.000.000 (Cash),"Rp 3,61 jt/bln",111.224 km Automatic Depok
357,2017        Daihatsu               AYLA        X        1.0,Rp        98.000.000,Rp 101.000.000 (Cash),"Rp 2,00 jt/bln",48.183 km Manual Bogor
358,2018        Honda               BR-V        PRESTIGE        1.5,Rp        201.000.000,Rp 207.000.000 (Cash),"Rp 4,10 jt/bln",29.961 km Automatic Bekasi
359,2019        Daihatsu               AYLA        R        1.2,Rp        123.000.000,Rp 127.000.000 (Cash),"Rp 2,51 jt/bln",32.662 km Manual Bogor
360,2017        Daihatsu               AYLA        X        1.0,Rp        98.000.000,Rp 101.000.000 (Cash),"Rp 2,00 jt/bln",35.469 km Manual Jakarta Selatan
361,2015        Nissan               JUKE        RX        1.5,Rp        161.000.000,Rp 166.000.000 (Cash),"Rp 3,28 jt/bln",43.642 km Automatic Bekasi
362,2022        Suzuki               ERTIGA        GL        1.5,Rp        207.000.000,Rp 213.000.000 (Cash),"Rp 4,22 jt/bln",178 km Manual Bekasi
363,2019        Daihatsu               AYLA        X        1.0,Rp        110.000.000,Rp 113.000.000 (Cash),"Rp 2,24 jt/bln",61.708 km Manual Malang
364,2020        Daihatsu               AYLA        R        1.2,Rp        129.000.000,Rp 133.000.000 (Cash),"Rp 2,63 jt/bln",23.476 km Manual Bekasi
365,2018        Suzuki               IGNIS        GL AGS        1.2,Rp        128.000.000,Rp 132.000.000 (Cash),"Rp 2,61 jt/bln",64.069 km Automatic Jakarta Timur
366,,,,,
367,2016        Datsun               GO+ PANCA        T        1.2,Rp        82.000.000,Rp 85.000.000 (Cash),"Rp 1,67 jt/bln",61.037 km Manual Bekasi
368,2017        Mazda               2        GT        1.5,Rp        200.000.000,Rp 206.000.000 (Cash),"Rp 4,08 jt/bln",80.723 km Automatic Depok
369,2018        Toyota               CALYA        G        1.2,Rp        130.000.000,Rp 134.000.000 (Cash),"Rp 2,65 jt/bln",65.699 km Automatic Jakarta Pusat
370,2017        Daihatsu               AYLA        X        1.0,Rp        98.000.000,Rp 101.000.000 (Cash),"Rp 2,00 jt/bln",100.218 km Manual Jakarta Barat
371,2019        Suzuki               IGNIS        GX        1.2,Rp        139.000.000,Rp 143.000.000 (Cash),"Rp 2,83 jt/bln",6.532 km Manual Jakarta Selatan
372,2018        Suzuki               IGNIS        GX        1.2,Rp        144.000.000,Rp 148.000.000 (Cash),"Rp 2,93 jt/bln",47.670 km Automatic Jakarta Timur
373,,,,,
374,2018        Honda               MOBILIO        RS        1.5,Rp        191.000.000,Rp 196.000.000 (Cash),"Rp 3,89 jt/bln",109.357 km Automatic Bogor
375,2020        Daihatsu               AYLA        X        1.0,Rp        111.000.000,Rp 114.000.000 (Cash),"Rp 2,26 jt/bln",24.819 km Manual Jakarta Timur
376,2020        Suzuki               ERTIGA        GX        1.5,Rp        200.000.000,Rp 206.000.000 (Cash),"Rp 4,08 jt/bln",17.509 km Manual Bogor
377,2013        Toyota               AVANZA        G        1.3,Rp        127.000.000,Rp 131.000.000 (Cash),"Rp 2,59 jt/bln",52.450 km Manual Jakarta Utara
378,2019        Honda               ODYSSEY        E        2.4,Rp        583.000.000,Rp 598.200.000 (Cash),"Rp 11,88 jt/bln",38.327 km Automatic Bandung
